time	d
4.3120939115464253E-002	1.2500865999999999E+000
8.4693720054643706E-002	1.3974822000000000E+001
1.2498171884436973E-001	1.1173752000000000E+001
1.6451901294119403E-001	8.7281220000000008E+000
2.0360944196882080E-001	6.7003839999999997E+000
2.4246478990098030E-001	5.0635219999999999E+000
2.8124095007619815E-001	3.7678199999999999E+000
3.2006082763556110E-001	2.7585299999999999E+000
3.5893625711992949E-001	1.9835735999999999E+000
3.9784968675915972E-001	1.4011032000000001E+000
4.3687089609021851E-001	9.7935079999999997E-001
4.7605272036840934E-001	6.9432039999999995E-001
5.1538127887269458E-001	5.2573899999999996E-001
5.5484505855602628E-001	4.5112340000000001E-001
5.9444113002347598E-001	4.4491999999999998E-001
6.3416443540931233E-001	4.8608879999999999E-001
6.7400810287065049E-001	5.6196740000000001E-001
7.1396307611681109E-001	6.4108659999999995E-001
7.5401318965927655E-001	7.2646440000000001E-001
7.9412907027807789E-001	8.3647519999999997E-001
8.3430891166659671E-001	9.0230020000000000E-001
8.7454439932640449E-001	9.8315859999999999E-001
9.1483518123942487E-001	1.0567316000000000E+000
9.5516483008192932E-001	1.0830632000000000E+000
9.9554905740721922E-001	1.1461800000000000E+000
1.0359680995378353E+000	1.1972208000000000E+000
1.0764205587146123E+000	1.2055030000000000E+000
1.1169192989812882E+000	1.2168504000000000E+000
1.1574529111744203E+000	1.2649684000000001E+000
1.1980121976675684E+000	1.2905219999999999E+000
1.2386058182114634E+000	1.2886892000000001E+000
1.2792361067786600E+000	1.2802070000000001E+000
1.3198953645032105E+000	1.2877296000000000E+000
1.3605867843990154E+000	1.3216436000000000E+000
1.4013061468139734E+000	1.3359601999999999E+000
1.4420538801969036E+000	1.3282984000000000E+000
1.4828298891488618E+000	1.3150582000000000E+000
1.5236321984471921E+000	1.3043118000000000E+000
1.5644668869708238E+000	1.3119242000000000E+000
1.6053296405132784E+000	1.3233775999999999E+000
1.6462142222823370E+000	1.3363710000000000E+000
1.6871227810552978E+000	1.3388768000000000E+000
1.7280574693873014E+000	1.3237460000000001E+000
1.7690147079078828E+000	1.3111358000000000E+000
1.8099931538972285E+000	1.3038668000000000E+000
1.8509953771749017E+000	1.2919769999999999E+000
1.8920194905527836E+000	1.2882996000000000E+000
1.9330641759851110E+000	1.3019780000000001E+000
1.9741306641171621E+000	1.3141978000000001E+000
2.0152169035904355E+000	1.3104203999999999E+000
