time	l
4.3120939115464253E-002	-6.1533520000000006E-008
8.4693720054643706E-002	6.1404240000000000E-004
1.2498171884436973E-001	7.4683080000000003E-004
1.6451901294119403E-001	9.4545779999999997E-004
2.0360944196882080E-001	1.1381048000000001E-003
2.4246478990098030E-001	1.3107736000000001E-003
2.8124095007619815E-001	1.4750872000000000E-003
3.2006082763556110E-001	1.6123182000000000E-003
3.5893625711992949E-001	1.7175275999999999E-003
3.9784968675915972E-001	1.7941999999999999E-003
4.3687089609021851E-001	1.8430968000000001E-003
4.7605272036840934E-001	1.8639812000000001E-003
5.1538127887269458E-001	1.8630313999999999E-003
5.5484505855602628E-001	1.8477570000000000E-003
5.9444113002347598E-001	1.8269632000000001E-003
6.3416443540931233E-001	1.8038813999999999E-003
6.7400810287065049E-001	1.7808428000000000E-003
7.1396307611681109E-001	1.7586730000000001E-003
7.5401318965927655E-001	1.7297377999999999E-003
7.9412907027807789E-001	1.7193346000000001E-003
8.3430891166659671E-001	1.6982175999999999E-003
8.7454439932640449E-001	1.6978860000000000E-003
9.1483518123942487E-001	1.6846070000000001E-003
9.5516483008192932E-001	1.6855398000000001E-003
9.9554905740721922E-001	1.6930546000000000E-003
1.0359680995378353E+000	1.6931276000000000E-003
1.0764205587146123E+000	1.7006866000000001E-003
1.1169192989812882E+000	1.7119092000000000E-003
1.1574529111744203E+000	1.7209706000000000E-003
1.1980121976675684E+000	1.7383456000000001E-003
1.2386058182114634E+000	1.7442569999999999E-003
1.2792361067786600E+000	1.7586985999999999E-003
1.3198953645032105E+000	1.7768496000000000E-003
1.3605867843990154E+000	1.7782178000000000E-003
1.4013061468139734E+000	1.7956974000000001E-003
1.4420538801969036E+000	1.7992888000000001E-003
1.4828298891488618E+000	1.8108318000000000E-003
1.5236321984471921E+000	1.8157326000000000E-003
1.5644668869708238E+000	1.8177359999999999E-003
1.6053296405132784E+000	1.8280499999999999E-003
1.6462142222823370E+000	1.8249970000000001E-003
1.6871227810552978E+000	1.8249040000000000E-003
1.7280574693873014E+000	1.8241714000000000E-003
1.7690147079078828E+000	1.8172066000000000E-003
1.8099931538972285E+000	1.8138055999999999E-003
1.8509953771749017E+000	1.8121018000000000E-003
1.8920194905527836E+000	1.8047452000000000E-003
1.9330641759851110E+000	1.7942577999999999E-003
1.9741306641171621E+000	1.7825601999999999E-003
2.0152169035904355E+000	1.7688716000000000E-003
2.0563197491602345E+000	1.7533507999999999E-003
2.0974386320377891E+000	1.7384530000000000E-003
2.1385750260271368E+000	1.7237340000000000E-003
2.1797297745091497E+000	1.7084366000000000E-003
2.2209019316245051E+000	1.6906588000000001E-003
2.2620915992899877E+000	1.6708128000000001E-003
2.3032992157747838E+000	1.6480384000000000E-003
2.3445227356186846E+000	1.6230400000000001E-003
2.3857583758019705E+000	1.5957021999999999E-003
2.4270039576550864E+000	1.5682596000000000E-003
2.4682606813357726E+000	1.5403280000000001E-003
2.5095311289254618E+000	1.5122861999999999E-003
2.5508164445894206E+000	1.4829318000000001E-003
2.5921162474592383E+000	1.4523138000000001E-003
2.6334303906136181E+000	1.4212059999999999E-003
2.6747598436187969E+000	1.3885207999999999E-003
2.7161057689009769E+000	1.3533976000000001E-003
2.7574678960862431E+000	1.3152509999999999E-003
2.7988442150818966E+000	1.2744385999999999E-003
2.8402322138838989E+000	1.2323607999999999E-003
2.8816300304222775E+000	1.1897188000000000E-003
2.9230371800019586E+000	1.1463960000000000E-003
2.9644543270292267E+000	1.1023129999999999E-003
3.0058823389595384E+000	1.0574516000000000E-003
3.0473217345655894E+000	1.0116418000000000E-003
3.0887727901810789E+000	9.6530499999999996E-004
3.1302359133319473E+000	9.1849119999999997E-004
3.1717118793283037E+000	8.7027039999999995E-004
3.2132016479465300E+000	8.2003320000000003E-004
3.2547057946187365E+000	7.6792959999999997E-004
3.2962240770344300E+000	7.1418459999999997E-004
3.3377553549347785E+000	6.5867520000000002E-004
3.3792979265485164E+000	6.0166219999999995E-004
3.4208501624417460E+000	5.4379500000000002E-004
3.4624110488274753E+000	4.8548660000000002E-004
3.5039802221025291E+000	4.2680900000000000E-004
3.5455577440119237E+000	3.6773260000000000E-004
3.5871438032163740E+000	3.0848559999999999E-004
3.6287385141588815E+000	2.4930599999999997E-004
3.6703421118463950E+000	1.8993588000000000E-004
3.7119548912423581E+000	1.2992487999999999E-004
3.7535773745366598E+000	6.9109459999999997E-005
3.7952103283039946E+000	7.6436719999999994E-006
3.8368545403547292E+000	-5.4282900000000002E-005
3.8785105179431052E+000	-1.1667452000000000E-004
3.9201782798712208E+000	-1.7962229999999999E-004
3.9618573243549959E+000	-2.4308060000000000E-004
4.0035467649680623E+000	-3.0690019999999999E-004
4.0452455331575949E+000	-3.7091279999999999E-004
4.0869525678701875E+000	-4.3498179999999998E-004
4.1286670030042201E+000	-4.9896640000000002E-004
4.1703883234344499E+000	-5.6265639999999995E-004
4.2121163840128713E+000	-6.2574500000000003E-004
4.2538512768058201E+000	-6.8793019999999997E-004
4.2955931743670215E+000	-7.4908199999999998E-004
4.3373422598446769E+000	-8.0926260000000003E-004
4.3790987320996759E+000	-8.6866039999999997E-004
4.4208628329703465E+000	-9.2745299999999996E-004
4.4626348715193389E+000	-9.8568779999999990E-004
4.5044152293052067E+000	-1.0432881999999999E-003
4.5462043313878571E+000	-1.1000960000000001E-003
4.5880025804874816E+000	-1.1559342000000000E-003
4.6298102759592181E+000	-1.2106625999999999E-003
4.6716275449025195E+000	-1.2641785999999999E-003
4.7134542943292210E+000	-1.3164150000000000E-003
4.7552901877898783E+000	-1.3673368000000001E-003
