time 	 d
0.0000000000000000E+000	9.9262820000000007E-012
4.8236565977426649E-001	7.7881389999999995E-005
9.4258706927856251E-001	-4.2961060000000000E-006
1.4080440527336771E+000	-2.1250300000000001E-004
1.8780854478457716E+000	-3.8813530000000000E-004
2.3509085221779502E+000	-6.1046099999999997E-004
2.8252369269696898E+000	-7.9098340000000001E-004
3.3006018873817009E+000	-9.2574800000000000E-004
3.7767838255358614E+000	-1.0055200000000000E-003
4.2536491929334890E+000	-1.0217670000000000E-003
4.7311250895931094E+000	-9.7194670000000003E-004
5.2091474783579841E+000	-8.6170579999999999E-004
5.6876601093527110E+000	-7.0439509999999995E-004
6.1666137748280931E+000	-5.1444060000000000E-004
6.6459653093559350E+000	-3.1036969999999998E-004
7.1256766777415761E+000	-1.1477939999999999E-004
7.6057142423602118E+000	5.0094360000000003E-005
8.0860482097634101E+000	1.6700539999999999E-004
8.5666521262841080E+000	2.2353459999999999E-004
9.0475023700260202E+000	2.1200829999999999E-004
9.5285777016610940E+000	1.3300949999999999E-004
1.0009859071269165E+001	-5.0673840000000004E-006
1.0491329433819830E+001	-1.8786180000000000E-004
1.0972973614723983E+001	-3.9533109999999999E-004
1.1454778080675579E+001	-6.0408059999999999E-004
1.1936730802620859E+001	-7.9165919999999996E-004
1.2418821127658155E+001	-9.3674169999999996E-004
1.2901039650382250E+001	-1.0225970000000001E-003
1.3383378064970772E+001	-1.0381010000000000E-003
1.3865829009677544E+001	-9.8195769999999990E-004
1.4348385934791823E+001	-8.6122480000000001E-004
1.4831042806293725E+001	-6.8963420000000002E-004
1.5313794397516249E+001	-4.8861529999999996E-004
1.5796638089834429E+001	-2.8096900000000000E-004
1.6279554798145760E+001	-9.2544020000000002E-005
1.6762516783078272E+001	5.1021179999999997E-005
1.7245527471626943E+001	1.3553750000000001E-004
1.7728606600040802E+001	1.4954789999999999E-004
1.8211757747003176E+001	8.9642209999999994E-005
1.8694973107984879E+001	-3.8113769999999999E-005
1.9178245374348158E+001	-2.1880700000000001E-004
1.9661569726707530E+001	-4.3093269999999999E-004
2.0144942649530257E+001	-6.4900020000000001E-004
2.0628361220690770E+001	-8.4635460000000000E-004
2.1111822707393461E+001	-9.9832599999999990E-004
2.1595325373597635E+001	-1.0855999999999999E-003
2.2078871431856783E+001	-1.0961809999999999E-003
2.2562447186679513E+001	-1.0290550000000001E-003
2.3046004723338925E+001	-8.8946550000000004E-004
2.3529549746100599E+001	-6.9178190000000002E-004
2.4013179966070993E+001	-4.6713220000000000E-004
2.4496930858275533E+001	-2.3214530000000000E-004
2.4980733334794643E+001	-2.7985029999999999E-005
2.5464539945693097E+001	1.2721560000000001E-004
2.5948358072989649E+001	2.1164369999999999E-004
2.6432200836277076E+001	2.1251700000000001E-004
2.6916070021255155E+001	1.2881420000000000E-004
2.7399963413987017E+001	-3.0367550000000000E-005
2.7883878968595759E+001	-2.4645009999999998E-004
2.8367814981007573E+001	-4.9334490000000003E-004
2.8851769878390130E+001	-7.4054459999999998E-004
2.9335742330550080E+001	-9.5675410000000002E-004
2.9819731364306048E+001	-1.1139860000000000E-003
3.0303736362695997E+001	-1.1910940000000000E-003
3.0787757021196491E+001	-1.1765170000000000E-003
3.1271793286159433E+001	-1.0699550000000000E-003
3.1755845254212911E+001	-8.8263320000000003E-004
3.2239913060377326E+001	-6.3629509999999997E-004
3.2723996824098712E+001	-3.6053609999999999E-004
3.3208096593511677E+001	-8.9265880000000001E-005
3.3692212178461901E+001	1.4339539999999999E-004
3.4176343004982115E+001	3.0742479999999999E-004
3.4660488084741118E+001	3.8072200000000000E-004
3.5144646108073331E+001	3.5206790000000000E-004
3.5628815881528766E+001	2.2278599999999999E-004
3.6112995708195839E+001	6.7963200000000002E-006
3.6597181894900707E+001	-2.7073840000000000E-004
3.7081371883647137E+001	-5.7613960000000002E-004
3.7565568243043259E+001	-8.7168800000000002E-004
3.8049773989855119E+001	-1.1201530000000000E-003
3.8533987135601286E+001	-1.2889580000000000E-003
3.9018204061588101E+001	-1.3546319999999999E-003
3.9502424106234095E+001	-1.3063920000000000E-003
3.9986648768085182E+001	-1.1475039999999999E-003
4.0470879425176555E+001	-8.9501879999999998E-004
4.0955116793253936E+001	-5.7810179999999997E-004
4.1439361243194625E+001	-2.3477400000000001E-004
4.1923612961631235E+001	9.2525810000000002E-005
4.2407871890251705E+001	3.6234810000000000E-004
4.2892137626901764E+001	5.3944180000000004E-004
4.3376409385604632E+001	5.9925080000000001E-004
4.3860686009469489E+001	5.3127410000000002E-004
4.4344965995796713E+001	3.4073660000000000E-004
4.4829247503126055E+001	4.8275159999999999E-005
4.5313528545802711E+001	-3.1207000000000001E-004
4.5797807664624983E+001	-6.9673070000000003E-004
4.6282084259905048E+001	-1.0578770000000000E-003
4.6766357702763919E+001	-1.3497610000000001E-003
4.7250627108771923E+001	-1.5340320000000001E-003
4.7734893290193845E+001	-1.5849040000000000E-003
4.8219159939246559E+001	-1.4925290000000000E-003
4.8703431895214784E+001	-1.2648630000000000E-003
4.9187713087297915E+001	-9.2636029999999998E-004
4.9672006219874355E+001	-5.1649080000000004E-004
5.0156313052469599E+001	-8.4661249999999999E-005
5.0640634242890727E+001	3.1565199999999998E-004
5.1124969135783964E+001	6.3332929999999996E-004
5.1609315876875883E+001	8.2623739999999998E-004
5.2093671775416709E+001	8.6685799999999997E-004
5.2578033486041285E+001	7.4617140000000004E-004
5.3062397240635093E+001	4.7485209999999998E-004
5.3546762073798845E+001	8.2319830000000000E-005
5.4031124770949049E+001	-3.8552960000000000E-004
5.4515483550634151E+001	-8.7219839999999995E-004
5.4999837624014013E+001	-1.3172010000000000E-003
5.5484187051640660E+001	-1.6638099999999999E-003
5.5968532662859324E+001	-1.8660540000000000E-003
5.6452875897673046E+001	-1.8948850000000000E-003
5.6937218583982187E+001	-1.7419619999999999E-003
5.7421562673998217E+001	-1.4212280000000001E-003
5.7905909968394312E+001	-9.6798860000000002E-004
5.8390261900894551E+001	-4.3515920000000003E-004
5.8874619453444630E+001	1.1286620000000000E-004
5.9358983098961225E+001	6.0812230000000000E-004
5.9843352656987669E+001	9.8737799999999991E-004
6.0327727274176382E+001	1.2001440000000000E-003
6.0812103207514738E+001	1.2153410000000000E-003
6.1296476804001642E+001	1.0257080000000000E-003
6.1780850186512424E+001	6.4932369999999996E-004
6.2265225676216950E+001	1.2812190000000001E-004
6.2749603564075848E+001	-4.7674719999999998E-004
6.3233978163177071E+001	-1.0919210000000000E-003
6.3718348216391234E+001	-1.6407460000000000E-003
6.4202713511848970E+001	-2.0529580000000001E-003
6.4687074495782269E+001	-2.2734510000000001E-003
6.5171432249767875E+001	-2.2696990000000000E-003
6.5655788386362161E+001	-2.0361429999999998E-003
6.6140144872684729E+001	-1.5958249999999999E-003
6.6624503800034063E+001	-9.9834209999999997E-004
6.7108867125166498E+001	-3.1424500000000000E-004
6.7593236415440231E+001	3.7309929999999999E-004
6.8077612629843912E+001	9.7768750000000004E-004
6.8561995964865048E+001	1.4216380000000000E-003
6.9046383815638805E+001	1.6451009999999999E-003
6.9530768282575011E+001	1.6142350000000001E-003
7.0015150451468017E+001	1.3261040000000000E-003
7.0499532704147015E+001	8.0983759999999998E-004
7.0983917495667313E+001	1.2407700000000000E-004
7.1468306554402375E+001	-6.4971950000000005E-004
7.1952692241384185E+001	-1.4164910000000000E-003
7.2437070560843964E+001	-2.0799130000000001E-003
7.2921441368961908E+001	-2.5539569999999999E-003
7.3405805492439711E+001	-2.7741070000000000E-003
7.3890164630063907E+001	-2.7060389999999999E-003
7.4374521153688704E+001	-2.3506270000000001E-003
7.4858877828315158E+001	-1.7443669999999999E-003
7.5343237477462154E+001	-9.5661580000000002E-004
7.5827602630876186E+001	-8.1334639999999995E-005
7.6311975196892220E+001	7.7387400000000002E-004
7.6796356207362621E+001	1.5010170000000001E-003
7.7280745288466434E+001	2.0052770000000002E-003
7.7765131951853093E+001	2.2173459999999998E-003

 
Grouping:test2
# x 	 y
7.7765131951853093E+001	2.1024809999999998E-003
7.8249513289744982E+001	1.6660939999999999E-003
7.8733891957592078E+001	9.5390290000000005E-004
7.9218271023615202E+001	4.7738060000000000E-005
7.9702653594197741E+001	-9.4368149999999999E-004
8.0187042313391416E+001	-1.8979390000000000E-003
8.0671428662536272E+001	-2.6941510000000001E-003
8.1155805571788036E+001	-3.2279119999999999E-003
8.1640173137784856E+001	-3.4249350000000000E-003
8.2124532625317059E+001	-3.2512200000000000E-003
8.2608886340196605E+001	-2.7183550000000000E-003
8.3093237368528023E+001	-1.8826559999999999E-003
8.3577589211249943E+001	-8.4064540000000003E-004
8.4061945353636460E+001	2.8247450000000001E-004
8.4546308825975615E+001	1.3478110000000000E-003
8.5030681810654229E+001	2.2197810000000001E-003
8.5515065342727809E+001	2.7835650000000000E-003
8.5999453120521636E+001	2.9597540000000002E-003
8.6483832502301127E+001	2.7152959999999999E-003
8.6968205707179848E+001	2.0687470000000001E-003
8.7452576279940430E+001	1.0895680000000000E-003
8.7936948183829799E+001	-1.0871740000000000E-004
8.8421325317326520E+001	-1.3812119999999999E-003
8.8905710981720034E+001	-2.5703840000000002E-003
8.9390094750809794E+001	-3.5245649999999999E-003
8.9874466354785952E+001	-4.1172079999999998E-003
9.0358826269025116E+001	-4.2637850000000000E-003
9.0843176426270972E+001	-3.9334810000000000E-003
9.1327520017176553E+001	-3.1542929999999999E-003
9.1811861127724370E+001	-2.0104590000000000E-003
9.2296204260654378E+001	-6.3530110000000004E-004
9.2780553788382960E+001	8.0475559999999998E-004
9.3264913398744014E+001	2.1308550000000001E-003
9.3749285604163845E+001	3.1734290000000002E-003
9.4233670423665501E+001	3.7934869999999999E-003
9.4718049550439332E+001	3.9014029999999999E-003
9.5202418061212072E+001	3.4693240000000002E-003
9.5686779632801219E+001	2.5357309999999998E-003
9.6171138849520844E+001	1.2029930000000001E-003
9.6655500652883902E+001	-3.7278289999999998E-004
9.7139869732518662E+001	-2.0000420000000001E-003
9.7624249879422777E+001	-3.4769029999999999E-003
9.8108627007195793E+001	-4.6137030000000002E-003
9.8592987588997573E+001	-5.2580329999999996E-003
9.9077332590085575E+001	-5.3153530000000001E-003
9.9561664862894403E+001	-4.7622180000000004E-003
1.0004598883711816E+002	-3.6505900000000000E-003
1.0053030999662157E+002	-2.1032999999999998E-003
1.0101463422632038E+002	-3.0245679999999999E-004
1.0149896709195305E+002	1.5325170000000000E-003
1.0198331312656882E+002	3.1730159999999999E-003
1.0246767522757959E+002	4.4077630000000003E-003
1.0295204630364829E+002	5.0701330000000001E-003
1.0343640268034694E+002	5.0610969999999996E-003
1.0392074608445593E+002	4.3633550000000002E-003
1.0440508164866550E+002	3.0444360000000002E-003
1.0488941555232587E+002	1.2517580000000000E-003
1.0537375429772942E+002	-8.0239850000000002E-004
1.0585810391624598E+002	-2.8674970000000001E-003
1.0634246901437574E+002	-4.6854860000000000E-003
1.0682682959851824E+002	-6.0210250000000002E-003
1.0731116992815065E+002	-6.6930630000000000E-003
1.0779549181759181E+002	-6.5988610000000001E-003
1.0827979933859562E+002	-5.7290300000000004E-003
1.0876409837021195E+002	-4.1709729999999997E-003
1.0924839590667099E+002	-2.0999529999999999E-003
1.0973269921308676E+002	2.3760660000000000E-004
1.1021701494287008E+002	2.5557340000000000E-003
1.1070134826506984E+002	4.5639050000000000E-003
1.1118570212591520E+002	6.0010330000000002E-003
1.1167005307602611E+002	6.6707030000000000E-003
1.1215438313128502E+002	6.4677420000000003E-003
1.1263869722526975E+002	5.3936510000000002E-003
1.1312300226512453E+002	3.5586540000000001E-003
1.1360730631331946E+002	1.1712680000000000E-003
1.1409161762152326E+002	-1.4834390000000000E-003
1.1457594362307756E+002	-4.0796679999999998E-003
1.1506028919331466E+002	-6.2906309999999997E-003
1.1554462495115770E+002	-7.8274929999999996E-003
1.1602893450693226E+002	-8.4790409999999997E-003
1.1651322090672237E+002	-8.1391499999999995E-003
1.1699748999018358E+002	-6.8238639999999998E-003
1.1748174973574014E+002	-4.6707449999999996E-003
1.1796600931824402E+002	-1.9271130000000000E-003
1.1845027799921658E+002	1.0784230000000000E-003
1.1893456399666253E+002	3.9756890000000001E-003
1.1941887339559690E+002	6.3985400000000003E-003
1.1990320521208399E+002	8.0289400000000000E-003
1.2038751870638983E+002	8.6408370000000002E-003
1.2087180672507650E+002	8.1298489999999998E-003
1.2135607616535464E+002	6.5297089999999999E-003
1.2184033621313192E+002	4.0118439999999997E-003
1.2232459724867384E+002	8.6655279999999998E-004
1.2280886959212987E+002	-2.5270520000000001E-003
1.2329316223555810E+002	-5.7497099999999999E-003
1.2377747883154619E+002	-8.3916790000000008E-003
1.2426177692277294E+002	-1.0105039999999999E-002
1.2474604208829371E+002	-1.0650250000000000E-002
1.2523027907407194E+002	-9.9277810000000001E-003
1.2571449600165312E+002	-7.9946470000000006E-003
1.2619870344665293E+002	-5.0608500000000004E-003
1.2668291317820830E+002	-1.4682639999999999E-003
1.2716713672884907E+002	2.3487380000000000E-003
1.2765138395730240E+002	5.9162599999999996E-003
1.2813566174492360E+002	8.7789800000000005E-003
1.2861995544205686E+002	1.0557640000000000E-002
1.2910421575122257E+002	1.1000879999999999E-002
1.2958844525695278E+002	1.0018090000000000E-002
1.3007265347517250E+002	7.6948920000000001E-003
1.3055685251909168E+002	4.2884619999999998E-003
1.3104105564627491E+002	1.9765289999999999E-004
1.3152527564372269E+002	-4.0786909999999997E-003
1.3200952321822996E+002	-8.0073439999999996E-003
1.3249379701496281E+002	-1.1083580000000001E-002
1.3297803928088570E+002	-1.2898470000000000E-002
1.3346224089451042E+002	-1.3192920000000000E-002
1.3394640900099998E+002	-1.1890710000000001E-002
1.3443055472924692E+002	-9.1142029999999995E-003
1.3491469192731287E+002	-5.1752370000000001E-003
1.3539883548717631E+002	-5.3940170000000003E-004
1.3588299953576237E+002	4.2249849999999997E-003
1.3636719562203282E+002	8.5208030000000004E-003
1.3685143118730099E+002	1.1793850000000000E-002
1.3733566186026044E+002	1.3605570000000001E-002
1.3781984783916548E+002	1.3693300000000000E-002
1.3830399778221997E+002	1.2002610000000000E-002
1.3878812463136765E+002	8.7008480000000006E-003
1.3927224413288118E+002	4.1634970000000004E-003
1.3975637292147343E+002	-1.0672870000000001E-003
1.4024052647810089E+002	-6.3447879999999996E-003
1.4072471713110380E+002	-1.1003840000000001E-002
1.4120892972704050E+002	-1.4439000000000000E-002
1.4169309419154510E+002	-1.6188160000000000E-002
1.4217720986405845E+002	-1.5992570000000001E-002
1.4266128718583857E+002	-1.3829450000000000E-002
1.4314534115621419E+002	-9.9232920000000002E-003
1.4362938959309523E+002	-4.7233589999999999E-003
1.4411345096950393E+002	1.1420840000000000E-003
1.4459754213493326E+002	6.9446209999999998E-003
1.4508167610589655E+002	1.1946439999999999E-002
1.4556585298296167E+002	1.5494920000000001E-002
1.4604999362757104E+002	1.7108550000000000E-002
1.4653408160079150E+002	1.6541199999999999E-002
1.4701812940388479E+002	1.3811729999999999E-002
1.4750215431405294E+002	9.2135829999999991E-003
1.4798617638413521E+002	3.2824680000000002E-003
1.4847021598317556E+002	-3.2555160000000000E-003
1.4895429124765209E+002	-9.5808390000000007E-003
1.4943841569096637E+002	-1.4885280000000001E-002
1.4992254179241567E+002	-1.8471890000000001E-002
1.5040660361294053E+002	-1.9849570000000000E-002
1.5089060918927376E+002	-1.8797280000000000E-002
1.5137457342162813E+002	-1.5393630000000000E-002
1.5185851611742220E+002	-1.0013620000000001E-002
1.5234245966255671E+002	-3.2937869999999998E-003
1.5282642631060492E+002	3.9350100000000001E-003
1.5331043534520532E+002	1.0761900000000000E-002
1.5379450053856323E+002	1.6307039999999998E-002
1.5427859085950391E+002	1.9838530000000000E-002
1.5476261591051482E+002	2.0866929999999999E-002
1.5524658173025497E+002	1.9209940000000002E-002
1.5573050589755181E+002	1.5018680000000000E-002
1.5621441095710659E+002	8.7656999999999995E-003
1.5669832175140715E+002	1.2045179999999999E-003
1.5718226241064770E+002	-6.7201789999999997E-003
1.5766625319322591E+002	-1.4003000000000000E-002
1.5815030221831060E+002	-1.9698879999999998E-002
1.5863431079100664E+002	-2.3051149999999999E-002
1.5911824471375647E+002	-2.3587139999999999E-002
1.5960211732990248E+002	-2.1183910000000000E-002
1.6008594926430652E+002	-1.6085289999999999E-002
1.6056976597682504E+002	-8.8796929999999993E-003
1.6105359471916384E+002	-4.4804209999999998E-004
1.6153746126999948E+002	8.1481820000000003E-003
1.6202138649432433E+002	1.5811479999999999E-002
1.6250538121326463E+002	2.1543369999999999E-002
1.6298934596804961E+002	2.4573169999999998E-002
1.6347323187775785E+002	2.4464880000000001E-002
1.6395705541876140E+002	2.1174120000000001E-002
1.6444084049653185E+002	1.5053749999999999E-002
1.6492461559944599E+002	6.8265219999999998E-003
1.6540841042173079E+002	-2.4846349999999998E-003
1.6589225221727108E+002	-1.1701780000000000E-002
1.6637616208069383E+002	-1.9642670000000001E-002
1.6686011199961735E+002	-2.5262389999999999E-002
1.6734397909406766E+002	-2.7799140000000000E-002
1.6782776417264679E+002	-2.6874499999999999E-002
1.6831148731073625E+002	-2.2546770000000001E-002
1.6879517600005545E+002	-1.5303340000000000E-002
1.6927886176630929E+002	-6.0169120000000001E-003
1.6976257646157748E+002	4.1457470000000000E-003
