time	l
0.0199258060	0.0000000000
1.0062532050	0.0001851342
2.0025435071	-0.0002973792
2.9988338091	-0.0003083754
3.9951241111	-0.0002062912
4.9914144132	-0.0001669280
5.9877047152	-0.0000863258
6.9839950172	-0.0000153563
7.9802853192	0.0000334605
8.9765756213	0.0000557993
9.9728659233	0.0000579685
10.9691562253	0.0000403231
11.9654465273	0.0000178717
12.9617368294	-0.0000130097
13.9580271314	-0.0000529439
14.9543174334	-0.0000968824
15.9506077355	-0.0001394225
16.9468980375	-0.0001779619
17.9431883395	-0.0002126682
18.9394786415	-0.0002444208
19.9357689436	-0.0002742500
20.9320592456	-0.0003030960
21.9283495476	-0.0003320230
22.9246398496	-0.0003638578
23.9209301517	-0.0003978728
24.9172204537	-0.0004315160
25.9135107557	-0.0004661400
26.9098010577	-0.0005007934
27.9060913598	-0.0005365042
28.9023816618	-0.0005739052
29.8986719638	-0.0006121936
30.8949622659	-0.0006502978
31.8912525679	-0.0006863524
32.8875428699	-0.0007197624
33.8838331719	-0.0007481648
34.8801234740	-0.0007764830
35.8764137760	-0.0008087712
36.8727040780	-0.0008454396
37.8689943800	-0.0008862820
38.8652846821	-0.0009273934
39.8615749841	-0.0009661094
40.8578652861	-0.0010003282
41.8541555882	-0.0010290652
42.8504458902	-0.0010531606
43.8467361922	-0.0010757506
44.8430264942	-0.0010961854
45.8393167963	-0.0011131870
46.8356070983	-0.0011275718
47.8318974003	-0.0011404822
48.8281877023	-0.0011508310
49.8244780044	-0.0011600134
50.8207683064	-0.0011693970
51.8170586084	-0.0011784750
52.8133489105	-0.0011877670
53.8096392125	-0.0011960320
54.8059295145	-0.0012031784
55.8022198165	-0.0012097780
56.7985101186	-0.0012156472
57.7948004206	-0.0012206276
58.7910907226	-0.0012244692
59.7873810246	-0.0012268466
60.7836713267	-0.0012275368
61.7799616287	-0.0012265152
62.7762519307	-0.0012236192
63.7725422327	-0.0012192060
64.7688325348	-0.0012132122
65.7651228368	-0.0012056798
66.7614131388	-0.0011967538
67.7577034409	-0.0011864506
68.7539937429	-0.0011748692
69.7502840449	-0.0011619538
70.7465743469	-0.0011476204
71.7428646490	-0.0011318376
72.7391549510	-0.0011145868
73.7354452530	-0.0010960704
74.7317355550	-0.0010768208
75.7280258571	-0.0010567786
76.7243161591	-0.0010361224
77.7206064611	-0.0010149012
78.7168967632	-0.0009931774
79.7131870652	-0.0009709886
80.7094773672	-0.0009483358
81.7057676692	-0.0009252406
82.7020579713	-0.0009017056
83.6983482733	-0.0008778406
84.6946385753	-0.0008535704
85.6909288773	-0.0008288410
86.6872191794	-0.0008037660
87.6835094814	-0.0007785272
88.6797997834	-0.0007533718
89.6760900855	-0.0007283044
90.6723803875	-0.0007033782
91.6686706895	-0.0006786322
92.6649609915	-0.0006541514
93.6612512936	-0.0006300716
94.6575415956	-0.0006065100
95.6538318976	-0.0005834534
96.6501221996	-0.0005609710
97.6464125017	-0.0005390592
98.6427028037	-0.0005177382
99.6389931057	-0.0004970550
100.6352834077	-0.0004771622
101.6315737098	-0.0004581508
102.6278640118	-0.0004400570
103.6241543138	-0.0004227898
104.6204446159	-0.0004064432
105.6167349179	-0.0003910080
106.6130252199	-0.0003765332
107.6093155219	-0.0003630706
108.6056058240	-0.0003506578
109.6018961260	-0.0003392990
110.5981864280	-0.0003289898
111.5944767300	-0.0003197678
112.5907670321	-0.0003117086
113.5870573341	-0.0003048236
114.5833476361	-0.0002991044
115.5796379382	-0.0002945286
116.5759282402	-0.0002911258
117.5722185422	-0.0002888166
118.5685088442	-0.0002876060
119.5647991463	-0.0002875612
120.5610894483	-0.0002886654
121.5573797503	-0.0002908816
122.5536700523	-0.0002942028
123.5499603544	-0.0002986244
124.5462506564	-0.0003040660
125.5425409584	-0.0003104966
126.5388312605	-0.0003178856
127.5351215625	-0.0003261690
128.5314118645	-0.0003353070
129.5277021665	-0.0003453678
130.5239924686	-0.0003563866
131.5202827706	-0.0003680974
132.5165730726	-0.0003805090
133.5128633746	-0.0003935572
134.5091536767	-0.0004075434
135.5054439787	-0.0004216794
136.5017342807	-0.0004364148
137.4980245827	-0.0004512572
138.4943148848	-0.0004660938
139.4906051868	-0.0004810770
140.4868954888	-0.0004959862
141.4831857909	-0.0005110632
142.4794760929	-0.0005263828
143.4757663949	-0.0005414280
144.4720566969	-0.0005559720
145.4683469990	-0.0005708606
146.4646373010	-0.0005855626
147.4609276030	-0.0005996302
148.4572179050	-0.0006132790
149.4535082071	-0.0006261704
150.4497985091	-0.0006388936
151.4460888111	-0.0006508220
152.4423791132	-0.0006610162
153.4386694152	-0.0006697770
154.4349597172	-0.0006763884
155.4312500192	-0.0006801678
156.4275403213	-0.0006806070
157.4238306233	-0.0006765852
158.4201209253	-0.0006683868
159.4164112273	-0.0006549028
160.4127015294	-0.0006354192
161.4089918314	-0.0006102982
162.4052821334	-0.0005810504
163.4015724354	-0.0005417612
164.3978627375	-0.0004949470
165.3941530395	-0.0004421640
166.3904433415	-0.0003813936
167.3867336436	-0.0003130764
168.3830239456	-0.0002377458
169.3793142476	-0.0001572988
170.3756045496	-0.0000728376
171.3718948517	0.0000138420
172.3681851537	0.0001012807
173.3644754557	0.0001878360
174.3607657577	0.0002727238
175.3570560598	0.0003534696
176.3533463618	0.0004263400
177.3496366638	0.0004908506
178.3459269659	0.0005488820
179.3422172679	0.0005989638
180.3385075699	0.0006355690
181.3347978719	0.0006526354
182.3310881740	0.0006579738
183.3273784760	0.0006534518
184.3236687780	0.0006602910
185.3199590800	0.0006875492
186.3162493821	0.0007420616
187.3125396841	0.0008083038
188.3088299861	0.0008217982
189.3051202882	0.0007097124
190.3014105902	0.0003518412
191.2977008922	-0.0003280070
192.2939911942	-0.0012831024
193.2902814963	-0.0024196360
194.2865717983	-0.0036530940
195.2828621003	-0.0048759420
196.2791524023	-0.0060047000
197.2754427044	-0.0069587340
198.2717330064	-0.0077012860
199.2680233084	-0.0082359260
200.2643136104	-0.0086110060
201.2606039125	-0.0088838920
202.2568942145	-0.0090599300
203.2531845165	-0.0090852520
204.2494748186	-0.0089223380
205.2457651206	-0.0085554400
206.2420554226	-0.0080181440
207.2383457246	-0.0074046840
208.2346360267	-0.0068029020
209.2309263287	-0.0062791220
210.2272166307	-0.0058624900
211.2235069327	-0.0055598620
212.2197972348	-0.0053468860
213.2160875368	-0.0051638780
214.2123778388	-0.0049858440
215.2086681409	-0.0047865580
216.2049584429	-0.0045543700
217.2012487449	-0.0043018160
218.1975390469	-0.0040361520
219.1938293490	-0.0037678500
220.1901196510	-0.0035059760
221.1864099530	-0.0032565780
222.1827002550	-0.0030247940
223.1789905571	-0.0028141780
224.1752808591	-0.0026275760
225.1715711611	-0.0024618940
226.1678614632	-0.0023177460
227.1641517652	-0.0021918380
228.1604420672	-0.0020827520
229.1567323692	-0.0019847712
230.1530226713	-0.0018992958
231.1493129733	-0.0018211060
232.1456032753	-0.0017487626
233.1418935773	-0.0016809010
234.1381838794	-0.0016156758
235.1344741814	-0.0015525778
236.1307644834	-0.0014905060
237.1270547854	-0.0014301872
238.1233450875	-0.0013718066
239.1196353895	-0.0013145350
240.1159256915	-0.0012608580
241.1122159936	-0.0012096370
242.1085062956	-0.0011649106
243.1047965976	-0.0011251430
244.1010868996	-0.0010919584
245.0973772017	-0.0010666298
246.0936675037	-0.0010491990
247.0899578057	-0.0010402202
248.0862481077	-0.0010331878
249.0825384098	-0.0010339326
250.0788287118	-0.0010454114
251.0751190138	-0.0010644648
252.0714093159	-0.0010956908
253.0676996179	-0.0011309752
254.0639899199	-0.0011678954
255.0602802219	-0.0012081144
256.0565705240	-0.0012522192
257.0528608260	-0.0013027328
258.0491511280	-0.0013614292
259.0454414300	-0.0014221046
260.0417317321	-0.0014828184
261.0380220341	-0.0015447714
262.0343123361	-0.0016084588
263.0306026381	-0.0016734778
264.0268929402	-0.0017394964
265.0231832422	-0.0018052326
266.0194735442	-0.0018711796
267.0157638463	-0.0019362334
268.0120541483	-0.0019990184
269.0083444503	-0.0020597860
270.0046347523	-0.0021194300
271.0009250544	-0.0021771240
271.9972153564	-0.0022325720
272.9935056584	-0.0022858280
273.9897959604	-0.0023361340
274.9860862625	-0.0023835080
275.9823765645	-0.0024282600
276.9786668665	-0.0024703380
277.9749571686	-0.0025094520
278.9712474706	-0.0025450980
279.9675377726	-0.0025770440
280.9638280746	-0.0026058580
281.9601183767	-0.0026311080
282.9564086787	-0.0026524300
283.9526989807	-0.0026699360
284.9489892827	-0.0026827960
285.9452795848	-0.0026923940
286.9415698868	-0.0026983040
287.9378601888	-0.0027003900
288.9341504909	-0.0026979660
289.9304407929	-0.0026921420
290.9267310949	-0.0026811740
291.9230213969	-0.0026675700
292.9193116990	-0.0026498820
293.9156020010	-0.0026276500
294.9118923030	-0.0026026460
295.9081826050	-0.0025734580
296.9044729071	-0.0025404180
297.9007632091	-0.0025039420
298.8970535111	-0.0024639640
299.8933438131	-0.0024200640
300.8896341152	-0.0023725960
301.8859244172	-0.0023216200
302.8822147192	-0.0022676020
303.8785050213	-0.0022088340
304.8747953233	-0.0021472920
305.8710856253	-0.0020813520
306.8673759273	-0.0020126820
307.8636662294	-0.0019411202
308.8599565314	-0.0018682246
309.8562468334	-0.0017917314
310.8525371354	-0.0017147074
311.8488274375	-0.0016361168
312.8451177395	-0.0015549212
313.8414080415	-0.0014718812
314.8376983436	-0.0013863686
315.8339886456	-0.0012994834
316.8302789476	-0.0012113650
317.8265692496	-0.0011226678
318.8228595517	-0.0010329912
319.8191498537	-0.0009427720
320.8154401557	-0.0008525220
321.8117304577	-0.0007619082
322.8080207598	-0.0006710262
323.8043110618	-0.0005810964
324.8006013638	-0.0004921264
325.7968916659	-0.0004044714
326.7931819679	-0.0003180100
327.7894722699	-0.0002332934
328.7857625719	-0.0001505032
329.7820528740	-0.0000698612
330.7783431760	0.0000085751
331.7746334780	0.0000840106
332.7709237800	0.0001568043
333.7672140821	0.0002265582
334.7635043841	0.0002932678
335.7597946861	0.0003567402
336.7560849881	0.0004166864
337.7523752902	0.0004727256
338.7486655922	0.0005246066
339.7449558942	0.0005724664
340.7412461963	0.0006161606
341.7375364983	0.0006555380
342.7338268003	0.0006901470
343.7301171023	0.0007204050
344.7264074044	0.0007460140
345.7226977064	0.0007665166
346.7189880084	0.0007823022
347.7152783104	0.0007935458
348.7115686125	0.0008001590
349.7078589145	0.0008021712
350.7041492165	0.0007995514
351.7004395186	0.0007922636
352.6967298206	0.0007803192
353.6930201226	0.0007637518
354.6893104246	0.0007426472
355.6856007267	0.0007172214
356.6818910287	0.0006874496
357.6781813307	0.0006534032
358.6744716327	0.0006153600
359.6707619348	0.0005733008
360.6670522368	0.0005276752
361.6633425388	0.0004787042
362.6596328409	0.0004265980
363.6559231429	0.0003715422
364.6522134449	0.0003137780
365.6485037469	0.0002534824
366.6447940490	0.0001908828
367.6410843510	0.0001262143
368.6373746530	0.0000598050
369.6336649550	-0.0000081641
370.6299552571	-0.0000773814
371.6262455591	-0.0001476192
372.6225358611	-0.0002185760
373.6188261631	-0.0002899716
374.6151164652	-0.0003615676
375.6114067672	-0.0004331112
376.6076970692	-0.0005043416
377.6039873713	-0.0005749948
378.6002776733	-0.0006448128
379.5965679753	-0.0007135486
380.5928582773	-0.0007809578
381.5891485794	-0.0008468034
382.5854388814	-0.0009108554
383.5817291834	-0.0009728882
384.5780194854	-0.0010326840
385.5743097875	-0.0010900326
386.5706000895	-0.0011447330
387.5668903915	-0.0011966050
388.5631806936	-0.0012454392
389.5594709956	-0.0012910780
390.5557612976	-0.0013333572
391.5520515996	-0.0013721232
392.5483419017	-0.0014072436
393.5446322037	-0.0014385984
394.5409225057	-0.0014660932
395.5372128077	-0.0014896764
396.5335031098	-0.0015092232
397.5297934118	-0.0015246720
398.5260837138	-0.0015359836
399.5223740158	-0.0015431264
400.5186643179	-0.0015460888
401.5149546199	-0.0015448766
402.5112449219	-0.0015395114
403.5075352240	-0.0015300304
404.5038255260	-0.0015164862
405.5001158280	-0.0014989484
406.4964061300	-0.0014775030
407.4926964321	-0.0014522482
408.4889867341	-0.0014232992
409.4852770361	-0.0013907876
410.4815673381	-0.0013548594
411.4778576402	-0.0013156764
412.4741479422	-0.0012734206
413.4704382442	-0.0012282786
414.4667285463	-0.0011804446
415.4630188483	-0.0011301302
416.4593091503	-0.0010775588
417.4555994523	-0.0010229518
418.4518897544	-0.0009665412
419.4481800564	-0.0009085618
420.4444703584	-0.0008492476
421.4407606604	-0.0007888250
422.4370509625	-0.0007275224
423.4333412645	-0.0006655670
424.4296315665	-0.0006031808
425.4259218686	-0.0005405832
426.4222121706	-0.0004779914
427.4185024726	-0.0004156212
428.4147927746	-0.0003536864
429.4110830767	-0.0002924158
430.4073733787	-0.0002320250
431.4036636807	-0.0001727402
432.3999539827	-0.0001147883
433.3962442848	-0.0000584025
434.3925345868	-0.0000038161
435.3888248888	0.0000487365
436.3851151908	0.0000990208
437.3814054929	0.0001468051
438.3776957949	0.0001918648
439.3739860969	0.0002339826
440.3702763990	0.0002729562
