time	l
0.0000000000000000E+000	5.6299979999999996E-004
1.3218968841603626E-001	1.5960499999999999E-003
2.6003554373975524E-001	6.9781920000000002E-003
3.8523674983423745E-001	5.6514900000000003E-003
5.0984450348708887E-001	3.6666060000000002E-003
6.3489597105344620E-001	3.1056920000000002E-003
7.6010467853190689E-001	3.2929240000000000E-003
8.8502677198738622E-001	3.3669419999999999E-003
1.0099880598487658E+000	3.0848519999999999E-003
1.1352759572444164E+000	2.6559600000000002E-003
1.2610582977741498E+000	2.2916560000000000E-003
1.3873590243886802E+000	2.1265059999999998E-003
1.5141146344962093E+000	2.1188539999999999E-003
1.6412338936530777E+000	2.2421360000000000E-003
1.7686302782398662E+000	2.3704780000000001E-003
1.8962439624466327E+000	2.4807179999999998E-003
2.0240326085400637E+000	2.5349380000000000E-003
2.1519693129600141E+000	2.5563620000000000E-003
2.2799877329487268E+000	2.5434320000000000E-003
2.4079641450816291E+000	2.5227180000000002E-003
2.5359280320491910E+000	2.4923319999999999E-003
2.6639027391559131E+000	2.4579279999999998E-003
2.7919124482074098E+000	2.4244959999999999E-003
2.9199871364003758E+000	2.3874299999999998E-003
3.0481521336559450E+000	2.3504139999999999E-003
3.1763758313732819E+000	2.3136820000000001E-003
3.3045689664568902E+000	2.2751500000000001E-003
3.4327417997671841E+000	2.2361220000000001E-003
3.5609057998720091E+000	2.1961820000000001E-003
3.6890717207674819E+000	2.1542860000000000E-003
3.8172493322320622E+000	2.1097420000000000E-003
3.9454489989752082E+000	2.0627100000000002E-003
4.0736805863436043E+000	2.0129079999999999E-003
4.2019518420870945E+000	1.9607684000000000E-003
4.3302697210275722E+000	1.9065957999999999E-003
4.4586416494250161E+000	1.8496414000000001E-003
4.5870744881024814E+000	1.7898642000000000E-003
4.7155735013768707E+000	1.7276886000000000E-003
4.8441430695066456E+000	1.6629974000000000E-003
4.9727877174715172E+000	1.5954560000000001E-003
5.1015119236505413E+000	1.5251069999999999E-003
