time	l
0.0000000000000000E+000	3.2448579999999997E-007
3.4378981079977673E-002	3.6926590000000000E-003
6.8452398723670871E-002	1.1686800000000001E-003
1.0217269834038969E-001	-2.6396939999999999E-004
1.3551597096096407E-001	-6.5287980000000001E-005
1.6846777749104105E-001	4.1092720000000002E-004
2.0110813899753746E-001	8.6170389999999999E-004
2.3350467250259652E-001	1.3287830000000000E-003
2.6571586983731210E-001	1.8094680000000001E-003
2.9779152278805443E-001	2.2228980000000001E-003
3.2977429493396021E-001	2.5380670000000002E-003
3.6170334755780581E-001	2.7696330000000001E-003
3.9361612422538012E-001	2.9861150000000001E-003
4.2554856749783310E-001	3.1597520000000000E-003
4.5753457233328804E-001	3.2562089999999999E-003
4.8960513627548558E-001	3.3095720000000002E-003
5.2178773868141337E-001	3.3149619999999999E-003
5.5410646532365027E-001	3.2813249999999999E-003
5.8658263588698734E-001	3.2221170000000000E-003
6.1918327657595851E-001	3.1304770000000000E-003
6.5185864822781481E-001	3.0072870000000000E-003
6.8462300924967323E-001	2.8718039999999999E-003
7.1744127393217116E-001	2.7292309999999999E-003
7.5023726849290462E-001	2.5855340000000000E-003
7.8301231582278374E-001	2.4163010000000000E-003
8.1577017890476000E-001	2.2240599999999999E-003
8.4851593261198055E-001	2.0245780000000000E-003
8.8125548220260774E-001	1.8302320000000000E-003
9.1399482138818111E-001	1.6529640000000000E-003
9.4673950972321108E-001	1.4855090000000001E-003
9.7949453993985214E-001	1.3239219999999999E-003
1.0122643827136864E+000	1.1666809999999999E-003
1.0450530171627523E+000	1.0128920000000000E-003
1.0778639756248145E+000	8.6658489999999998E-004
1.1107003090288508E+000	7.3628989999999998E-004
1.1435645208073926E+000	6.2744419999999996E-004
1.1764586356902595E+000	5.2881320000000001E-004
1.2093842845947198E+000	4.3862520000000001E-004
1.2423427046248854E+000	3.5855039999999999E-004
1.2753347170057454E+000	2.8649509999999998E-004
1.3083607587001214E+000	2.2367679999999999E-004
1.3414208789787112E+000	1.6847210000000000E-004
1.3745147210532049E+000	1.2110060000000000E-004
1.4076415409195118E+000	8.2908790000000001E-005
1.4408002051740170E+000	5.3408539999999998E-005
1.4739892115845254E+000	3.0479710000000000E-005
1.5072062238389226E+000	1.4024460000000000E-005
1.5404445255242745E+000	4.7676430000000000E-006
1.5737035158704828E+000	2.4429220000000001E-006
1.6069842513151593E+000	4.5215580000000002E-006
1.6402876797063057E+000	8.9196759999999997E-006
1.6736146235147911E+000	1.5301689999999999E-005
1.7069653008363832E+000	2.3549570000000000E-005
1.7403350630802217E+000	3.3149230000000000E-005
1.7737219769268533E+000	4.3559290000000001E-005
1.8071253133959184E+000	5.3662799999999997E-005
1.8405443357633846E+000	6.2955720000000006E-005
1.8739715912077943E+000	7.1546900000000004E-005
1.9073917673634317E+000	7.9948220000000003E-005
1.9408045879555191E+000	8.7071380000000007E-005
1.9742103890960037E+000	9.2554989999999997E-005
2.0076095227805859E+000	9.6018230000000004E-005
2.0410023410793685E+000	9.7217080000000007E-005
2.0743891826225642E+000	9.5473369999999998E-005
2.1077703641863335E+000	9.1279700000000000E-005
2.1411461792005602E+000	8.5357469999999995E-005
2.1745169031319751E+000	7.7463549999999998E-005
2.2078828034591220E+000	6.7127640000000000E-005
2.2412441519799073E+000	5.4342219999999998E-005
2.2746012366924422E+000	3.9778050000000001E-005
2.3079543686994497E+000	2.4297249999999998E-005
2.3413038873896785E+000	8.5910719999999999E-006
2.3746501599635570E+000	-8.1596439999999993E-006
2.4079935774980177E+000	-2.7091890000000000E-005
2.4413345511284423E+000	-4.8196789999999998E-005
2.4746735053093909E+000	-7.0514559999999995E-005
2.5080108668493239E+000	-9.3495870000000005E-005
2.5413469816729419E+000	-1.1720360000000000E-004
2.5746804721692595E+000	-1.4134719999999999E-004
2.6080109493339045E+000	-1.6580880000000001E-004
2.6413387603200844E+000	-1.9084020000000000E-004
2.6746642214534742E+000	-2.1660660000000001E-004
2.7079876179634015E+000	-2.4304270000000000E-004
2.7413092062576236E+000	-2.7066489999999998E-004
2.7746292181862922E+000	-2.9962879999999997E-004
2.8079478660532535E+000	-3.2979150000000002E-004
2.8412653477083993E+000	-3.6005459999999999E-004
2.8745818515485695E+000	-3.9079920000000001E-004
2.9078975613791678E+000	-4.2221529999999998E-004
2.9412126605398234E+000	-4.5375489999999999E-004
2.9745273353508508E+000	-4.8515299999999999E-004
3.0078417781983910E+000	-5.1622129999999997E-004
3.0411561898187820E+000	-5.4712619999999995E-004
3.0744707808521610E+000	-5.7785430000000004E-004
3.1077857725379143E+000	-6.0831549999999996E-004
3.1411013953224902E+000	-6.3848660000000005E-004
3.1744178841658863E+000	-6.6855840000000001E-004
3.2077354779633307E+000	-6.9871989999999997E-004
3.2410544164993138E+000	-7.2908570000000000E-004
3.2743749361799961E+000	-7.5929480000000004E-004
3.3076972667504383E+000	-7.8877310000000003E-004
3.3410216292658586E+000	-8.1874360000000002E-004
3.3743482310762323E+000	-8.4928949999999999E-004
3.4076772581927619E+000	-8.8009929999999996E-004
3.4410088773967513E+000	-9.1105760000000004E-004
3.4743432406784343E+000	-9.4200120000000000E-004
3.5076804867114797E+000	-9.7274630000000002E-004
3.5410207410653025E+000	-1.0034120000000000E-003
3.5743641170841136E+000	-1.0340270000000001E-003
3.6077107177323438E+000	-1.0645900000000000E-003
3.6410606379820805E+000	-1.0950930000000001E-003
3.6744139673214078E+000	-1.1253820000000001E-003
3.7077707920661376E+000	-1.1552970000000000E-003
3.7411311972835710E+000	-1.1848119999999999E-003
3.7744952685879527E+000	-1.2140390000000001E-003
3.8078630953688499E+000	-1.2432949999999999E-003
