time	d
2.7279471711338804E-001	5.2521339999999999E+000
3.2533542843417951E-001	3.7048060000000000E+000
3.7778265362310548E-001	2.5874280000000001E+000
4.3031723380469589E-001	1.8145578000000000E+000
4.8305668723050899E-001	1.3190260000000000E+000
5.3605271663367426E-001	1.0384899999999999E+000
5.8931404564415424E-001	9.1475139999999999E-001
6.4280122164364772E-001	8.9932020000000001E-001
6.9649070717783379E-001	9.5818519999999996E-001
7.5036408472749294E-001	1.0280457999999999E+000
8.0439132860630813E-001	1.1311966000000000E+000
8.5856664935400417E-001	1.2098320000000000E+000
9.1284586165506865E-001	1.3117402000000000E+000
9.6723606163281151E-001	1.3369270000000000E+000
1.0217217556975697E+000	1.4052564000000001E+000
1.0762656423794834E+000	1.4652452000000000E+000
1.1308963247220856E+000	1.4580474000000001E+000
1.1855985080119151E+000	1.4582822000000000E+000
1.2403594547727164E+000	1.4952426000000001E+000
1.2951659559992952E+000	1.5401149999999999E+000
1.3500242378201883E+000	1.5190470000000000E+000
1.4049282905271365E+000	1.5022416000000001E+000
1.4598766479422802E+000	1.4942412000000000E+000
1.5148799264273825E+000	1.4969460000000001E+000
1.5699249674907008E+000	1.5260700000000000E+000
1.6249972581627807E+000	1.5482781999999999E+000
1.6801033637492573E+000	1.5257504000000000E+000
1.7352489122120642E+000	1.5028482000000001E+000
1.7904351519293280E+000	1.4971445999999999E+000
1.8456677828150616E+000	1.4799253999999999E+000
1.9009438183830525E+000	1.4669382000000000E+000
1.9562546307617719E+000	1.4868718000000001E+000
2.0115937041116689E+000	1.5155285999999999E+000
2.0669564333460664E+000	1.5181894000000000E+000
2.1223433435515378E+000	1.5001700000000000E+000
2.1777609961603663E+000	1.4828522000000000E+000
2.2332152479264460E+000	1.4684596000000001E+000
2.2887066328856482E+000	1.4491946000000000E+000
2.3442329148711347E+000	1.4294465999999999E+000
2.3997873587176914E+000	1.4237310000000001E+000
2.4553661649243326E+000	1.4355420000000001E+000
2.5109681667987336E+000	1.4536693999999999E+000
2.5665890693351399E+000	1.4643036000000000E+000
2.6222242274217176E+000	1.4630272000000000E+000
2.6778725962575876E+000	1.4544509999999999E+000
2.7335373907671925E+000	1.4437932000000000E+000
2.7892238507785101E+000	1.4314490000000000E+000
2.8449359532880956E+000	1.4149474000000000E+000
2.9006747200343614E+000	1.3952850000000001E+000
2.9564388513387985E+000	1.3785651999999999E+000
3.0122262819709733E+000	1.3707106000000000E+000
3.0680349785605436E+000	1.3738357999999999E+000
3.1238630386223489E+000	1.3855754000000000E+000
3.1797085713551088E+000	1.3992034000000000E+000
3.2355695640063509E+000	1.4071772000000000E+000
3.2914441276209923E+000	1.4063178000000001E+000
3.3473311959956416E+000	1.3990046000000000E+000
3.4032308629061885E+000	1.3897184000000000E+000
3.4591441088307842E+000	1.3813316000000000E+000
3.5150723884192145E+000	1.3743428000000000E+000
3.5710173362393776E+000	1.3677378000000000E+000
3.6269805398636890E+000	1.3598598000000000E+000
3.6829632009448661E+000	1.3495576000000000E+000
3.7389657293801939E+000	1.3375298000000000E+000
3.7949876940584568E+000	1.3267583999999999E+000
3.8510281455096127E+000	1.3211590000000000E+000
3.9070856126524225E+000	1.3229392000000000E+000
3.9631582162126775E+000	1.3308392000000000E+000
4.0192439380069418E+000	1.3409823999999999E+000
4.0753410315223082E+000	1.3492472000000000E+000
4.1314483817508201E+000	1.3529177999999999E+000
4.1875656144552602E+000	1.3510156000000000E+000
4.2436929491518072E+000	1.3441676000000000E+000
4.2998309595449618E+000	1.3343702000000000E+000
4.3559803652921198E+000	1.3242790000000000E+000
4.4121418681388427E+000	1.3161596000000000E+000
4.4683160302488325E+000	1.3110786000000001E+000
4.5245032179470943E+000	1.3086682000000001E+000
4.5807036218433668E+000	1.3074695999999999E+000
4.6369173429880419E+000	1.3056795999999999E+000
4.6931444991921429E+000	1.3020414000000000E+000
4.7493852668554846E+000	1.2964898000000000E+000
4.8056398059316807E+000	1.2901456000000000E+000
4.8619081004318678E+000	1.2846734000000000E+000
4.9181898029697120E+000	1.2814740000000000E+000
4.9744841714705750E+000	1.2811694000000000E+000
5.0307901306038891E+000	1.2835242000000000E+000
5.0871064259751746E+000	1.2876612000000001E+000
5.1434318216106583E+000	1.2923308000000000E+000
5.1997653002650619E+000	1.2961570000000000E+000
5.2561062206586859E+000	1.2979179999999999E+000
5.3124543896088996E+000	1.2968493999999999E+000
5.3688100388541864E+000	1.2928500000000001E+000
5.4251737283299919E+000	1.2864956000000001E+000
5.4815462046375840E+000	1.2788615999999999E+000
5.5379282386555992E+000	1.2712258000000001E+000
5.5943204677300971E+000	1.2647434000000000E+000
