time 	 l
0.0000000000000000E+000	9.9227289999999999E-012
7.0835457770817167E-001	5.0884570000000002E-005
1.3985166952755228E+000	-1.8508660000000001E-004
2.1015030687180900E+000	-4.0026649999999999E-004
2.8092927896832309E+000	-6.9605049999999999E-004
3.5197215447638648E+000	-9.7448689999999998E-004
4.2322669626779126E+000	-1.1692280000000000E-003
4.9466327904984073E+000	-1.2415729999999999E-003
5.6624448902791489E+000	-1.1261200000000000E-003
6.3794552720962026E+000	-8.5669309999999999E-004
7.0974991718114255E+000	-4.4274199999999998E-004
7.8164408562053032E+000	6.0591190000000003E-005
8.5361691738000154E+000	5.2370770000000001E-004
9.2565911577048485E+000	8.7387830000000002E-004
9.9776215320199029E+000	9.9163159999999997E-004
1.0699192364764405E+001	8.5141269999999998E-004
1.1421252037090699E+001	4.4575479999999998E-004
1.2143756870165083E+001	-1.5032990000000000E-004
1.2866662958864543E+001	-8.1371989999999995E-004
1.3589923571054209E+001	-1.3851680000000000E-003
1.4313506550578305E+001	-1.7022980000000001E-003
1.5037385714193759E+001	-1.6469360000000001E-003
1.5761542328901134E+001	-1.1758000000000001E-003
1.6485941584801402E+001	-3.4374640000000000E-004
1.7210510376131658E+001	6.8752470000000003E-004
1.7935281704641589E+001	1.6953510000000001E-003
1.8660255581053050E+001	2.4167730000000001E-003
1.9385399422310940E+001	2.6260390000000002E-003
2.0110699154771737E+001	2.1920780000000001E-003
2.0836150507320337E+001	1.1277900000000000E-003
2.1561751775993979E+001	-3.8863249999999998E-004
2.2287504657316727E+001	-2.0330489999999999E-003
2.3013297919038042E+001	-3.4005350000000001E-003
2.3739082352056879E+001	-4.0846060000000002E-003
2.4465112488856601E+001	-3.8015610000000002E-003
2.5191297918676632E+001	-2.4778579999999999E-003
2.5917531760112276E+001	-2.9683530000000001E-004
2.6643863089238433E+001	2.3029119999999998E-003
2.7370290792143265E+001	4.6944639999999998E-003
2.8096756013790042E+001	6.2058380000000000E-003
2.8823258180770939E+001	6.2897860000000003E-003
2.9549810512221988E+001	4.6893389999999998E-003
3.0276433168731121E+001	1.5587640000000000E-003
3.1003147789181988E+001	-2.5085300000000001E-003
3.1729946189014736E+001	-6.5629900000000003E-003
3.2456737793356126E+001	-9.4944320000000006E-003
3.3183517879698549E+001	-1.0306510000000000E-002
3.3910307362914700E+001	-8.4104499999999999E-003
3.4637139684464927E+001	-3.8615329999999999E-003
3.5364052545443208E+001	2.5389110000000000E-003
3.6091070625432437E+001	9.3307990000000007E-003
3.6818054950579132E+001	1.4669600000000000E-002
3.7544952833502954E+001	1.6776380000000000E-002
3.8271804670916225E+001	1.4451650000000000E-002
3.8998655293401306E+001	7.5374060000000000E-003
3.9725559060787184E+001	-2.8407110000000001E-003
4.0452562002341359E+001	-1.4316760000000000E-002
4.1179449495929859E+001	-2.3691600000000000E-002
4.1906114049028254E+001	-2.7706060000000001E-002
4.2632592759341328E+001	-2.3999730000000000E-002
4.3358966025776972E+001	-1.2066500000000001E-002
4.4085336559259446E+001	6.0834870000000003E-003
4.4811774758966401E+001	2.5897900000000001E-002
4.5537900068493300E+001	4.1032199999999998E-002
4.6263564514888508E+001	4.5173140000000001E-002
4.6988872996938873E+001	3.4438320000000001E-002
4.7714009741284372E+001	9.6204970000000004E-003
4.8439192286564897E+001	-2.2875580000000000E-002
4.9164357309818463E+001	-5.2226330000000001E-002
4.9888894625139933E+001	-6.6697460000000000E-002
5.0612905497666766E+001	-5.8605369999999997E-002
5.1336672121981074E+001	-2.7957889999999999E-002
5.2060527189403466E+001	1.6441120000000000E-002
5.2784665735552380E+001	5.9263669999999997E-002
5.3508272629895636E+001	8.3950109999999994E-002
5.4231225217101823E+001	7.9446379999999997E-002
