t	C_D
9.7740568099751804E-003	1.2977584000000000E+001
1.9404074956086374E-002	2.1215579999999999E+001
2.8975138110609668E-002	1.8248726000000001E+001
3.8525965267595774E-002	1.7162552000000002E+001
4.8056981594732158E-002	1.6873166000000001E+001
5.7587566830824145E-002	1.6451438000000000E+001
6.7114672978848586E-002	1.5912946000000000E+001
7.6649236506602714E-002	1.5382994000000000E+001
8.6187311738406464E-002	1.4864682000000000E+001
9.5734961835305540E-002	1.4348364000000000E+001
1.0528991400798579E-001	1.3840932000000000E+001
1.1485482920186482E-001	1.3346498000000000E+001
1.2442916001397561E-001	1.2863134000000001E+001
1.3401228426372330E-001	1.2389530000000001E+001
1.4360427250890881E-001	1.1926190000000000E+001
1.5320507463135266E-001	1.1474468000000000E+001
1.6281332570550405E-001	1.1035650000000000E+001
1.7242951408212165E-001	1.0610478000000001E+001
1.8205287779441520E-001	1.0199211999999999E+001
1.9168256596611569E-001	9.8021619999999992E+000
2.0131897670276605E-001	9.4196340000000003E+000
2.1096137355252778E-001	9.0517059999999994E+000
2.2060944648794334E-001	8.6982999999999997E+000
2.3026300180247691E-001	8.3592320000000004E+000
2.3992166383245409E-001	8.0343160000000005E+000
2.4958546282443456E-001	7.7233400000000003E+000
2.5925396862422723E-001	7.4260159999999997E+000
2.6892674393595356E-001	7.1420139999999996E+000
2.7860414483683754E-001	6.8709819999999997E+000
2.8828569166803841E-001	6.6125499999999997E+000
2.9797099824425072E-001	6.3663699999999999E+000
3.0766029632390790E-001	6.1320699999999997E+000
3.1735330954645907E-001	5.9092479999999998E+000
3.2704980634623354E-001	5.6975160000000002E+000
3.3674964941597907E-001	5.4965020000000004E+000
3.4645282925911680E-001	5.3058280000000000E+000
3.5615925437372581E-001	5.1251239999999996E+000
3.6586864455617546E-001	4.9540179999999996E+000
3.7558088808360651E-001	4.7921560000000003E+000
3.8529619198838660E-001	4.6391879999999999E+000
3.9501425292192227E-001	4.4947660000000003E+000
4.0473477512754125E-001	4.3585560000000001E+000
4.1445852550773188E-001	4.2302340000000003E+000
4.2418411182168136E-001	4.1094660000000003E+000
4.3391291023476364E-001	3.9959560000000001E+000
4.4364377240594371E-001	3.8893819999999999E+000
4.5337736835912079E-001	3.7894619999999999E+000
4.6311388680807464E-001	3.6958980000000001E+000
4.7285088985103635E-001	3.6084079999999998E+000
4.8259027084829109E-001	3.5267360000000001E+000
4.9233325197769956E-001	3.4506000000000001E+000
5.0207783997391098E-001	3.3797320000000002E+000
5.1182476353106987E-001	3.3138899999999998E+000
5.2157493505025887E-001	3.2528260000000002E+000
5.3132742983137837E-001	3.1962940000000000E+000
5.4107919321064957E-001	3.1440640000000002E+000
5.5083189630961615E-001	3.0959260000000000E+000
5.6058710067230144E-001	3.0516519999999998E+000
5.7034501329508613E-001	3.0110180000000000E+000
5.8010318039535902E-001	2.9738240000000000E+000
5.8986306628032437E-001	2.9398759999999999E+000
5.9962562392296004E-001	2.9089760000000000E+000
6.0939083669702576E-001	2.8809300000000002E+000
6.1915858561508919E-001	2.8555579999999998E+000
6.2892872649949660E-001	2.8326880000000001E+000
6.3869837054254230E-001	2.8121540000000000E+000
6.4846739496392414E-001	2.7938060000000000E+000
6.5823743774648336E-001	2.7774920000000001E+000
6.6800964377775407E-001	2.7630599999999998E+000
6.7778423843850077E-001	2.7503620000000000E+000
6.8755825740687249E-001	2.7392500000000002E+000
6.9733007399920188E-001	2.7295820000000002E+000
7.0710214417169504E-001	2.7212299999999998E+000
7.1687626885439037E-001	2.7140719999999998E+000
7.2665294273089565E-001	2.7080120000000001E+000
7.3643205485910124E-001	2.7029660000000000E+000
7.4621346187372140E-001	2.6988699999999999E+000
7.5599703436185750E-001	2.6956479999999998E+000
7.6578263464094021E-001	2.6932239999999998E+000
7.7557016494673559E-001	2.6915019999999998E+000
7.8535857331030479E-001	2.6903779999999999E+000
7.9514598764509437E-001	2.6897340000000001E+000
8.0493351695406090E-001	2.6894580000000001E+000
8.1472225955493138E-001	2.6894580000000001E+000
8.2451279968907654E-001	2.6896640000000001E+000
8.3430511919145833E-001	2.6900480000000000E+000
8.4409915021253745E-001	2.6905999999999999E+000
8.5389220374914587E-001	2.6913339999999999E+000
8.6368126817617230E-001	2.6922560000000000E+000
8.7346814799253691E-001	2.6933699999999998E+000
8.8325461929248594E-001	2.6946659999999998E+000
8.9304223987660292E-001	2.6961360000000001E+000
9.0283191376672445E-001	2.6977639999999998E+000
9.1262372458532737E-001	2.6995279999999999E+000
9.2241758754093661E-001	2.7013859999999998E+000
9.3221338773305795E-001	2.7032799999999999E+000
