time	l
0.0000000000000000E+000	-2.0450920000000001E-003
4.5526389331021697E-002	1.8613764000000000E-004
8.9972998135123217E-002	6.1576640000000004E-004
1.3208154719114551E-001	7.0456619999999996E-004
1.7431933098694202E-001	6.4783280000000004E-004
2.1687959375671953E-001	8.5990619999999998E-004
2.5971851567043763E-001	1.0489008000000000E-003
3.0278562891422139E-001	1.0365935999999999E-003
3.4604164543210819E-001	1.1893716000000000E-003
3.8946584191191613E-001	1.3930824000000001E-003
4.3304504856462872E-001	1.5982698000000001E-003
4.7677353792351013E-001	1.7214646000000000E-003
5.2064487947833848E-001	1.8673763999999999E-003
5.6464632369781054E-001	2.1130979999999999E-003
6.0876564624749707E-001	2.3363619999999998E-003
6.5298270063123354E-001	2.4169059999999999E-003
6.9727745246536377E-001	2.4772800000000001E-003
7.4163295679677310E-001	2.6560720000000002E-003
7.8602943056938857E-001	2.7761760000000000E-003
8.3045354167021290E-001	2.7743260000000001E-003
8.7489654296909247E-001	2.8459980000000002E-003
9.1934587265217627E-001	2.9325380000000002E-003
9.6379495490601863E-001	2.9647340000000001E-003
1.0082389883953387E+000	2.9945499999999999E-003
1.0526730951859271E+000	3.0543160000000001E-003
1.0970629474909432E+000	3.0891660000000000E-003
1.1414584621579482E+000	3.0992099999999998E-003
1.1858467480559955E+000	3.1337200000000000E-003
1.2302137940349516E+000	3.1654819999999998E-003
1.2745614242623449E+000	3.1781480000000000E-003
1.3188806162644957E+000	3.2214100000000001E-003
1.3631801527804113E+000	3.2351799999999998E-003
1.4074490136918469E+000	3.2870500000000001E-003
1.4516970416752599E+000	3.3013140000000001E-003
1.4959081350882140E+000	3.3606520000000000E-003
1.5400940076979137E+000	3.3781160000000000E-003
1.5842463607040003E+000	3.4264840000000000E-003
1.6283627886674688E+000	3.4654360000000001E-003
1.6724511841646807E+000	3.5081980000000001E-003
1.7164986564247562E+000	3.5833779999999999E-003
1.7605126928411630E+000	3.6162420000000000E-003
1.8044895758412942E+000	3.6662919999999998E-003
1.8484285068033668E+000	3.7407500000000002E-003
1.8923297111889943E+000	3.7816700000000000E-003
1.9361912466904252E+000	3.8465999999999999E-003
1.9800180491382171E+000	3.9217000000000002E-003
2.0238094797033677E+000	3.9802720000000000E-003
2.0675562493595763E+000	4.0256759999999997E-003
2.1112669598174607E+000	4.1071679999999996E-003
2.1549439385695734E+000	4.1772600000000003E-003
2.1985740099287332E+000	4.2234400000000002E-003
2.2421666688194097E+000	4.2932559999999996E-003
2.2857359712648342E+000	4.3684980000000002E-003
2.3292732082942300E+000	4.4334220000000002E-003
2.3727735558089909E+000	4.4851780000000003E-003
2.4162494994589001E+000	4.5531779999999997E-003
2.4597095946449112E+000	4.6253720000000000E-003
2.5031474198920991E+000	4.6850839999999999E-003
2.5465594780832781E+000	4.7374760000000000E-003
2.5899568303932070E+000	4.8011759999999999E-003
2.6333500264014345E+000	4.8626939999999999E-003
2.6767334331622372E+000	4.9216479999999998E-003
2.7201008575896322E+000	4.9763419999999999E-003
2.7634612382047186E+000	5.0265060000000000E-003
2.8068266702058673E+000	5.0838619999999998E-003
2.8501944578820275E+000	5.1379240000000003E-003
2.8935561958716636E+000	5.1918839999999999E-003
2.9369169495438769E+000	5.2396980000000001E-003
2.9802895719008835E+000	5.2907479999999996E-003
3.0236759958849890E+000	5.3420639999999997E-003
3.0670675130512053E+000	5.3921519999999999E-003
3.1104614454101398E+000	5.4417119999999996E-003
3.1538663685903270E+000	5.4905259999999999E-003
3.1972883374649586E+000	5.5363560000000001E-003
3.2407219407658241E+000	5.5824880000000000E-003
3.2841602391088127E+000	5.6341280000000004E-003
3.3276051373509739E+000	5.6878179999999999E-003
3.3710645643338770E+000	5.7343780000000000E-003
3.4145418332421005E+000	5.7771840000000003E-003
3.4580313101328590E+000	5.8214900000000003E-003
3.5015271230967437E+000	5.8757280000000002E-003
3.5450310004748151E+000	5.9268699999999999E-003
3.5885483105140024E+000	5.9754200000000004E-003
3.6320807822967525E+000	6.0205839999999998E-003
3.6756242487968609E+000	6.0656000000000000E-003
3.7191733615260576E+000	6.1159700000000001E-003
3.7627277352861470E+000	6.1699579999999997E-003
3.8062919980583767E+000	6.2212580000000003E-003
3.8498695545608150E+000	6.2705080000000002E-003
3.8934588551146438E+000	6.3182899999999998E-003
3.9370558646214127E+000	6.3655400000000003E-003
3.9806581654063193E+000	6.4194220000000001E-003
4.0242668970294053E+000	6.4739840000000003E-003
4.0678851991073035E+000	6.5256819999999997E-003
4.1115142711371702E+000	6.5751919999999997E-003
4.1551517137127396E+000	6.6246639999999997E-003
4.1987941155849926E+000	6.6746300000000000E-003
4.2424401708379671E+000	6.7287540000000000E-003
4.2860913064700101E+000	6.7842639999999999E-003
4.3297501435053389E+000	6.8358079999999996E-003
4.3734181295399379E+000	6.8876099999999997E-003
4.4170942480118383E+000	6.9390199999999997E-003
4.4607759660941788E+000	6.9905039999999998E-003
4.5044615534047985E+000	7.0425619999999996E-003
4.5481516067118530E+000	7.0980899999999996E-003
4.5918483169220101E+000	7.1532740000000003E-003
4.6355534198198072E+000	7.2053459999999996E-003
4.6792665573644721E+000	7.2553720000000004E-003
4.7229853780055855E+000	7.3056720000000000E-003
4.7667073989086548E+000	7.3574460000000001E-003
4.8104318489048925E+000	7.4104360000000003E-003
4.8541601728708850E+000	7.4650280000000003E-003
4.8978950348123593E+000	7.5186439999999997E-003
4.9416384172807568E+000	7.5695160000000001E-003
4.9853900299237628E+000	7.6182500000000000E-003
5.0291474046030196E+000	7.6667780000000000E-003
