time	l
7.0613063329470149E-002	-1.8625413999999999E-008
1.3776903189031031E-001	5.7455180000000002E-004
2.0310809219301279E-001	9.8020360000000001E-004
2.6807099063276191E-001	1.2139026000000000E-003
3.3324560620465232E-001	1.3986616000000000E-003
3.9835939167008877E-001	1.5594004000000000E-003
4.6362007366328689E-001	1.6255336000000000E-003
5.2913040127851252E-001	1.6361802000000000E-003
5.9493854880945185E-001	1.6150250000000000E-003
6.6102801180624349E-001	1.5835472000000001E-003
7.2737035672818429E-001	1.5450612000000000E-003
7.9394017906769176E-001	1.5175860000000000E-003
8.6070614583010940E-001	1.4935516000000001E-003
9.2763246956048062E-001	1.4733564000000000E-003
9.9471656966717059E-001	1.4681588000000001E-003
1.0619228777765963E+000	1.4654303999999999E-003
1.1292444559941348E+000	1.4619264000000000E-003
1.1966683424706999E+000	1.4682096000000000E-003
1.2642010289715768E+000	1.4816568000000001E-003
1.3318135570522460E+000	1.5014066000000000E-003
1.3995145934185200E+000	1.4975964000000000E-003
1.4673043714843697E+000	1.5006590000000001E-003
1.5351945482094267E+000	1.5099257999999999E-003
1.6031589657911356E+000	1.5017100000000001E-003
1.6711895747241137E+000	1.4984315999999999E-003
1.7392956451015329E+000	1.4878126000000000E-003
1.8074741854786547E+000	1.4766797999999999E-003
1.8757150717182161E+000	1.4620798000000001E-003
1.9440093942147729E+000	1.4394863999999999E-003
2.0123551838417000E+000	1.4145906000000001E-003
2.0807390586987760E+000	1.3846761999999999E-003
2.1491622375171029E+000	1.3527719999999999E-003
2.2176345015860330E+000	1.3195302000000000E-003
2.2861526162757362E+000	1.2795018000000000E-003
2.3547166027999982E+000	1.2368196000000001E-003
2.4233319438223671E+000	1.1928408000000000E-003
2.4919937480425087E+000	1.1411862000000000E-003
2.5606902889640848E+000	1.0845525999999999E-003
2.6294163592182773E+000	1.0265538000000000E-003
2.6981749043849113E+000	9.6654559999999996E-004
2.7669687576209419E+000	9.0390879999999998E-004
2.8357985857175265E+000	8.3888579999999999E-004
2.9046655929934100E+000	7.7028939999999998E-004
2.9735730859541349E+000	6.9684000000000000E-004
3.0425231392792074E+000	6.2157919999999999E-004
3.1115127045813402E+000	5.4360759999999998E-004
3.1805336933688766E+000	4.6240959999999998E-004
3.2495795177438316E+000	3.7771320000000002E-004
3.3186483095225991E+000	2.9029140000000000E-004
3.3877418087239231E+000	2.0270299999999999E-004
3.4568621525405119E+000	1.1653033999999999E-004
3.5260097007381588E+000	3.0087059999999999E-005
3.5951843199735456E+000	-5.9009319999999999E-005
3.6643862293945619E+000	-1.5071508000000000E-004
3.7336169006532574E+000	-2.4348720000000001E-004
3.8028785117904707E+000	-3.3589360000000002E-004
3.8721721176526893E+000	-4.2672020000000002E-004
3.9414961001191666E+000	-5.1628959999999995E-004
4.0108460980892033E+000	-6.0557959999999996E-004
4.0802172653128626E+000	-6.9524200000000000E-004
4.1496065894682816E+000	-7.8472199999999996E-004
4.2190134481348318E+000	-8.7210619999999995E-004
4.2884393596308534E+000	-9.5597059999999998E-004
4.3578869261460014E+000	-1.0359004000000001E-003
4.4273579858619136E+000	-1.1120264000000000E-003
4.4968528037113771E+000	-1.1850512000000000E-003
4.5663704824052189E+000	-1.2554704000000000E-003
4.6359096617245834E+000	-1.3228459999999999E-003
4.7054694689436722E+000	-1.3864622000000000E-003
4.7750503395194039E+000	-1.4457129999999999E-003
4.8446536629833234E+000	-1.4998731999999999E-003
4.9142805288671338E+000	-1.5481754000000001E-003
4.9839308571404208E+000	-1.5904208000000000E-003
