t	C_D
4.3352259555734829E-001	5.0712880000000000E+000
8.6233162581933887E-001	3.5401379999999998E+000
1.2970733479223644E+000	2.2568239999999999E+000
1.7347012590948576E+000	2.3119640000000001E+000
2.1737563110714002E+000	2.3000720000000001E+000
2.6140904618513137E+000	2.1159740000000000E+000
3.0554418724481902E+000	2.1188199999999999E+000
3.4978188346793426E+000	2.0411480000000002E+000
3.9407935099138980E+000	2.0616900000000000E+000
4.3845700200652411E+000	1.9922127999999999E+000
4.8288898998752430E+000	1.9795354000000001E+000
5.2735914615141368E+000	1.9739902000000000E+000
5.7187222021865676E+000	1.9437690000000001E+000
6.1642756369130023E+000	1.9241070000000000E+000
6.6101793373028359E+000	1.9131338000000000E+000
7.0563533392023050E+000	1.9073278000000000E+000
7.5027714282779634E+000	1.8962981999999999E+000
7.9494232614576781E+000	1.8855502000000000E+000
8.3962981643867405E+000	1.8761787999999999E+000
8.8433857014961781E+000	1.8672215999999999E+000
9.2906674278695380E+000	1.8600756000000001E+000
9.7381208342150387E+000	1.8542293999999999E+000
1.0185725140857921E+001	1.8489620000000000E+000
1.0633462457268545E+001	1.8442552000000001E+000
1.1081318621467796E+001	1.8400360000000000E+000
1.1529286348089069E+001	1.8356421999999999E+000
1.1977364291972913E+001	1.8308514000000000E+000
1.2425551359010866E+001	1.8262000000000000E+000
1.2873842589132346E+001	1.8221832000000000E+000
1.3322229208165099E+001	1.8188679999999999E+000
1.3770701131594514E+001	1.8160255999999999E+000
1.4000000000000000E+001	1.8134024000000000E+000

 
